ORID,LAT,LON,DEPTH,ORIGIN,EVID,MB,MS,ML,ARID,PHASE,DELTA,STA,TIME,IPHASE,AZIMUTH,DELTIM,DELAZ,JDATE,STA_LAT,STA_LON,STATYPE,ONDATE,OFFDATE,TIMEDEF,ATIME,OTIME
6332887,-16.558574,177.15594,0.0,2010-05-15 00:08:42.288140032,6327439,4.4004789,4.2091166,-999.0,59131712,P,71.385603,PETK,2010-05-15 00:20:03.175000064,P,151.13284,0.551768,16.486683,2010135,53.10822,157.69885,ar,2006291.0,2286324.0,d,1273882803.175,1273882122.28814
6332887,-16.558574,177.15594,0.0,2010-05-15 00:08:42.288140032,6327439,4.4004789,4.2091166,-999.0,59131713,Pn,11.497202,DZM,2010-05-15 00:11:29.080000000,P,90.0,0.55176753,0.549118,2010135,-22.068,166.4469,ss,2002335.0,2286324.0,d,1273882289.08,1273882122.28814
6332917,32.045914,141.05526,0.0,2010-05-15 09:02:20.973659904,6328260,3.4385135,-999.0,3.4282354,59087697,Pn,5.0358567,MJAR,2010-05-15 09:03:37.587500032,P,145.94244,0.48518224,4.467046,2010135,36.52472,138.24718,ar,2005060.0,2286324.0,d,1273914217.5875,1273914140.973659
6332917,32.045914,141.05526,0.0,2010-05-15 09:02:20.973659904,6328260,3.4385135,-999.0,3.4282354,59087843,P,46.667583,MKAR,2010-05-15 09:10:51.275000064,P,90.0,0.90139722,23.136997,2010135,46.79368,82.29057,ar,2000092.0,2286324.0,d,1273914651.275,1273914140.973659
6332917,32.045914,141.05526,0.0,2010-05-15 09:02:20.973659904,6328260,3.4385135,-999.0,3.4282354,59087873,P,52.091742,WRA,2010-05-15 09:11:32.525000192,P,5.7901935,0.41186199,0.90108508,2010135,-19.9426,134.3395,ar,1999182.0,2286324.0,d,1273914692.525,1273914140.973659
6332917,32.045914,141.05526,0.0,2010-05-15 09:02:20.973659904,6328260,3.4385135,-999.0,3.4282354,59090031,Pn,5.0303926,JCJ,2010-05-15 09:03:39.049999872,N,291.10506,0.72092963,6.649533,2010135,27.09547,142.18463,ss,2008333.0,2286324.0,d,1273914219.049999,1273914140.973659
6332917,32.045914,141.05526,0.0,2010-05-15 09:02:20.973659904,6328260,3.4385135,-999.0,3.4282354,59131813,P,30.590765,SONM,2010-05-15 09:08:36.834000128,P,107.61258,0.551768,17.160523,2010135,47.83469,106.39499,ar,2000245.0,2286324.0,d,1273914516.834,1273914140.973659
6332917,32.045914,141.05526,0.0,2010-05-15 09:02:20.973659904,6328260,3.4385135,-999.0,3.4282354,59131814,P,68.28276,YKA,2010-05-15 09:13:23.414490112,P,296.1091,0.551768,4.17085,2010135,62.4931,-114.6062,ar,1989025.0,2014013.0,d,1273914803.41449,1273914140.973659
6332917,32.045914,141.05526,0.0,2010-05-15 09:02:20.973659904,6328260,3.4385135,-999.0,3.4282354,59131815,P,55.817457,ASAR,2010-05-15 09:11:59.744930048,P,7.135304,0.551768,6.993713,2010135,-23.66513,133.90526,ar,2005165.0,2286324.0,d,1273914719.74493,1273914140.973659
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59087775,P,56.311996,BRTR,2010-05-15 09:16:38.450000128,P,92.862405,0.79451685,19.650484,2010135,39.72525,33.63895,ar,2002017.0,2286324.0,d,1273914998.45,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59087786,P,72.634171,STKA,2010-05-15 09:18:25.500000000,P,311.61637,1.0019746,21.74144,2010135,-31.8743,141.5964,ss,2002337.0,2015034.0,d,1273915105.5,1273914416.445329
